"motif","TF","log2_enrichment","minlog10_FDR"
"MA0808.1","TEAD3",1.12006986275522,18.5617560676911
"MA1121.1","TEAD2",0.946220230078314,8.76097148239525
"MA0139.1","CTCF",1.43019419120373,8.5406872929765
"MA0090.3","TEAD1",0.913518586787071,8.26141051282356
"MA0809.2","TEAD4",0.845201600165135,8.02032814127818
"MA1102.2","CTCFL",1.16608892691029,3.07539550889062
"MA1929.1","CTCF",0.897206347266694,2.09642999509864
"MA1930.1","CTCF",1.05801527210676,2.08780809494634
"MA1122.1","TFDP1",0.934355580072353,1.03505098232242
"MA1105.2","GRHL2",0.842618786058227,1.03505098232242
"MA0147.3","MYC",0.882093074176202,0.915749957451851
"MA0603.1","Arntl",0.773604838830242,0.763675319753641
"MA0006.1","Ahr::Arnt",0.833860753994206,0.687263827388846
"MA1152.1","SOX15",0.545781336060609,0.666171196623671
"MA0867.2","SOX4",0.551588036822806,0.666171196623671
"MA1984.1","ZNF667",0.780931028432829,0.666171196623671
"MA0734.3","Gli2",0.782016349230336,0.666171196623671
"MA1979.1","ZNF416",0.533103869556176,0.623649460742582
"MA0442.2","SOX10",0.553752961225808,0.620485949890974
"MA0626.1","Npas2",0.796808859111716,0.546277283643084
"MA1643.1","NFIB",0.619455154381306,0.508241385497587
"MA0004.1","Arnt",0.795645625580696,0.497336392456133
"MA0622.1","Mlxip",0.793297757661619,0.497336392456133
"MA0058.3","MAX",0.779468695324302,0.497336392456133
"MA0825.1","MNT",0.780146368059947,0.497336392456133
"MA1464.1","ARNT2",0.624695042024607,0.497336392456133
"MA1554.1","RFX7",0.703625557408493,0.497336392456133
"MA1980.1","ZNF418",0.554318553646757,0.497336392456133
"MA1990.1","Gli1",0.757674466865314,0.497336392456133
"MA0659.3","Mafg",0.620930563744241,0.497336392456133
"MA0515.1","Sox6",0.576035433875234,0.49413964300696
"MA0591.1","Bach1::Mafk",0.713592416169259,0.49413964300696
"MA1950.1","FLI1::FOXI1",0.649372230887197,0.49413964300696
"MA1587.1","ZNF135",0.558904816621611,0.475012619964813
"MA0146.2","Zfx",0.556445316498447,0.461955289330215
"MA0907.1","HOXC13",0.544474551539602,0.461955289330215
"MA1714.1","ZNF675",0.660578040645915,0.461955289330215
"MA0496.3","MAFK",0.472386794711846,0.461955289330215
"MA1952.1","FOXJ2::ELF1",0.545208808628694,0.461955289330215
"MA0869.2","Sox11",0.506297781239546,0.461955289330215
"MA1604.1","Ebf2",0.495451631968347,0.455878666557114
"MA0768.2","Lef1",0.551228283301846,0.432693581639278
"MA1106.1","HIF1A",0.69459415708058,0.418542716430894
"MA0497.1","MEF2C",0.335595392303962,0.404245292636726
"MA1478.1","DMRTA2",0.619974956368537,0.404245292636726
"MA1560.1","SOHLH2",0.552732133258838,0.404245292636726
"MA1707.1","DMRTA1",0.613036087915293,0.404245292636726
"MA1935.1","ERF::FOXI1",0.498734154150082,0.404245292636726
"MA0506.2","Nrf1",0.599155965301591,0.404245292636726
"MA0760.1","ERF",0.643661051955404,0.398691271357349
"MA0646.1","GCM1",0.629754408670063,0.386165974742036
"MA1099.2","HES1",0.702656370681338,0.386165974742036
"MA1726.1","ZNF331",0.547380943882542,0.386165974742036
"MA0516.3","SP2",0.542742920560399,0.386165974742036
"MA1623.1","Stat2",0.393291412703703,0.384239749178477
"MA1731.1","ZNF768",0.523466842201489,0.384239749178477
"MA0081.2","SPIB",0.433310326976915,0.35501965153965
"MA2001.1","Six4",0.556251934149013,0.35501965153965
"MA0087.2","Sox5",0.548474690214917,0.351531573365231
"MA0647.1","GRHL1",0.597089999434138,0.346518894724573
"MA0098.3","ETS1",0.576624363487466,0.346518894724573
"MA0775.1","MEIS3",0.493642102778941,0.346518894724573
"MA0103.3","ZEB1",0.359743276033203,0.346518894724573
"MA1565.1","TBX18",0.403229747404421,0.346518894724573
"MA1718.1","ZNF8",0.479462718135625,0.346518894724573
"MA1637.1","EBF3",0.454629095748563,0.346518894724573
"MA0592.3","ESRRA",0.428494870906399,0.346518894724573
"MA1104.2","GATA6",0.361909991975113,0.346518894724573
"MA1936.1","ERF::FOXO1",0.533262527353674,0.346518894724573
"MA1944.1","ETV5::DRGX",0.615652699658438,0.346518894724573
"MA0079.5","SP1",0.543571555634616,0.346518894724573
"MA0685.2","SP4",0.497756023342626,0.346518894724573
"MA0819.2","CLOCK",0.651943537175399,0.346518894724573
"MA1540.2","NR5A1",0.424086427883925,0.346518894724573
"MA1580.1","ZBTB32",0.658508419508725,0.341716905231609
"MA1596.1","ZNF460",0.481868126472559,0.341716905231609
"MA0520.1","Stat6",0.375070483717905,0.341517640894933
"MA0498.2","MEIS1",0.406075754604629,0.341517640894933
"MA0464.2","BHLHE40",0.470022444897157,0.341517640894933
"MA1574.1","THRB",0.487704400977108,0.341517640894933
"MA0766.2","GATA5",0.393853928980613,0.341517640894933
"MA1650.1","ZBTB14",0.632516622729276,0.341517640894933
"MA0598.3","EHF",0.399603628663758,0.341517640894933
"MA0160.2","NR4A2",0.359655669518169,0.341517640894933
"MA0475.2","FLI1",0.622012886969729,0.339847030696719
"MA0059.1","MAX::MYC",0.564216121896797,0.333431408359456
"MA0868.2","SOX8",0.454868015330249,0.333431408359456
"MA0163.1","PLAG1",0.485952035968101,0.332831042880875
"MA1942.1","ETV2::FOXI1",0.482486461609023,0.332831042880875
"MA0259.1","ARNT::HIF1A",0.601885544942404,0.323816352539544
"MA1982.1","ZNF574",0.526212775338964,0.322842910024702
"MA0724.1","VENTX",0.39423751321955,0.316250145578699
"MA0823.1","HEY1",0.592660170716788,0.316250145578699
"MA1597.1","ZNF528",0.477079256016516,0.316250145578699
"MA1725.1","ZNF189",0.365396858263042,0.316250145578699
"MA1955.1","FOXO1::ELK3",0.553205308833611,0.316250145578699
"MA1629.1","Zic2",0.40466788071765,0.307786782205798
"MA1147.1","NR4A2::RXRA",0.498378630312252,0.306947876167508
"MA0080.6","Spi1",0.371253809088458,0.306947876167508
"MA0608.1","Creb3l2",0.513111472779595,0.305857658420872
"MA1647.2","Prdm4",0.510424452833597,0.305857658420872
"MA0472.2","EGR2",0.431447420190406,0.301787384590402
"MA0616.2","HES2",0.57046509784239,0.301787384590402
"MA0148.4","FOXA1",0.300703399773796,0.301787384590402
"MA1957.1","HOXB2::ELK1",0.515704727295637,0.301787384590402
"MA0742.2","KLF12",0.542383249828835,0.301787384590402
"MA1148.1","PPARA::RXRA",0.385212758555019,0.297804016879348
"MA0101.1","REL",0.40849780345155,0.291254781113066
"MA1721.1","ZNF93",0.58410734700392,0.291254781113066
"MA0597.2","THAP1",0.39673209434543,0.291254781113066
"MA0710.1","NOTO",0.317885503715451,0.290334567305978
"MA0773.1","MEF2D",0.448086084093938,0.290334567305978
"MA0117.2","Mafb",0.439976627785989,0.290334567305978
"MA0883.1","Dmbx1",0.488403714975087,0.290334567305978
"MA1628.1","Zic1::Zic2",0.425748280682252,0.290334567305978
"MA1937.1","ERF::HOXB13",0.543784553839787,0.290334567305978
"MA0884.2","DUXA",0.443837548503449,0.290334567305978
"MA1498.2","HOXA7",0.441103734054617,0.290334567305978
"MA1563.2","SOX18",0.432621774846779,0.290334567305978
"MA0107.1","RELA",0.412658178748388,0.281713399631023
