"motif","TF","log2_enrichment","minlog10_FDR"
"MA0808.1","TEAD3",1.64014141527597,13.8699001868719
"MA1988.1","Atf3",1.76173674674862,9.97720745268658
"MA0462.2","BATF::JUN",1.76723909702036,9.88674486193377
"MA1634.1","BATF",1.76723909702036,9.88674486193377
"MA0489.2","Jun",1.76381998708741,9.88674486193377
"MA0477.2","FOSL1",1.84009652813924,9.77801354809703
"MA1130.1","FOSL2::JUN",1.6867485090897,9.6326781632673
"MA0490.2","JUNB",1.77412474063762,9.6326781632673
"MA1128.1","FOSL1::JUN",1.61680459433793,9.4916105196956
"MA0835.2","BATF3",1.67563316043245,9.38669678858153
"MA1141.1","FOS::JUND",1.66757044870845,9.29400900162714
"MA1121.1","TEAD2",1.54561170542771,8.91413610120145
"MA1142.1","FOSL1::JUND",1.62982924551116,8.35403184595387
"MA0491.2","JUND",1.66303574707238,8.18167313794577
"MA1633.2","BACH1",1.71374865050665,8.13587708715435
"MA1144.1","FOSL2::JUND",1.61811292416797,7.79458605780778
"MA1137.1","FOSL1::JUNB",1.44125138787597,7.74292131032812
"MA1135.1","FOSB::JUNB",1.47350711446703,7.29691544191002
"MA0099.3","FOS::JUN",1.410765326032,7.16303843517964
"MA1134.1","FOS::JUNB",1.59964101008405,7.15717850486109
"MA0090.3","TEAD1",1.31849941480105,6.98081722101859
"MA0809.2","TEAD4",1.21129833868762,6.89830458097172
"MA0476.1","FOS",1.51207675701386,6.82760820711633
"MA1138.1","FOSL2::JUNB",1.41181977680334,6.51180787323972
"MA1928.1","BNC2",1.31982407988265,5.80465294752185
"MA0655.1","JDP2",1.61367662134816,5.24366577774939
"MA1132.1","JUN::JUNB",1.25886567368138,4.49477760949391
"MA0501.1","MAF::NFE2",1.56630955344511,3.83548310092597
"MA0150.2","Nfe2l2",1.54993498432177,3.64040968808381
"MA1101.2","BACH2",1.52903649289907,3.50395538132389
"MA0478.1","FOSL2",1.02975300423885,2.99751357441488
"MA0089.2","MAFG::NFE2L1",1.35241161787725,2.66014999057939
"MA0670.1","NFIA",1.03427158197899,2.45088709729847
"MA0841.1","NFE2",1.22601977801488,1.70335769180357
"MA0093.3","USF1",1.10030003619743,1.49895182556758
"MA0645.1","ETV6",1.06949103926371,1.43448939786896
"MA0671.1","NFIX",0.879954666878213,1.09615655718621
"MA0496.3","MAFK",0.709490040185794,0.835494224750803
"MA0591.1","Bach1::Mafk",1.01040025478775,0.802267634881672
"MA1148.1","PPARA::RXRA",0.81966601427674,0.787059865041575
"MA1604.1","Ebf2",0.810285150605482,0.787059865041575
"MA1107.2","KLF9",0.830355914181941,0.787059865041575
"MA0519.1","Stat5a::Stat5b",0.654021961372337,0.779731328723917
"MA1643.1","NFIB",0.919247146150374,0.692299388324751
"MA0620.3","MITF",0.800606044012754,0.601004403276103
"MA0684.2","RUNX3",0.683841196069062,0.582143662417933
"MA1601.2","ZNF75D",0.819699666857261,0.521015037045812
"MA1637.1","EBF3",0.727043265041044,0.506358180289979
"MA0107.1","RELA",0.793324675488048,0.503226074668991
"MA1979.1","ZNF416",0.593742226080774,0.44273589563852
"MA1514.1","KLF17",0.801861024498014,0.420922607851325
"MA0609.2","CREM",0.760168605950602,0.420922607851325
"MA0818.2","BHLHE22",0.720755815309417,0.420922607851325
"MA1635.1","BHLHE22",0.607240396867549,0.407614445268069
"MA1104.2","GATA6",0.529709082787469,0.407614445268069
