"motif","TF","log2enr","negLog10FDR"
"MA1130.1","FOSL2::JUN",1.95372519126644,10.7084423619373
"MA1128.1","FOSL1::JUN",1.80998601470032,10.0850932395635
"MA1141.1","FOS::JUND",1.89638137435147,10.0850932395635
"MA0489.2","Jun",1.79507087018564,10.0209974408281
"MA1137.1","FOSL1::JUNB",1.7631390655857,9.41112429402676
"MA1988.1","Atf3",1.64781043140021,9.37693888288398
"MA0476.1","FOS",1.87349046639928,9.33000944033903
"MA0462.2","BATF::JUN",1.6417085766256,8.96675018043954
"MA1634.1","BATF",1.6417085766256,8.96675018043954
"MA0477.2","FOSL1",1.7596130979554,8.93974140635976
"MA0808.1","TEAD3",1.13122298690752,8.85648804340103
"MA1135.1","FOSB::JUNB",1.66473491851364,8.8046084503101
"MA0490.2","JUNB",1.70487194036642,8.8046084503101
"MA0099.3","FOS::JUN",1.61637293770034,8.60692800434523
"MA1144.1","FOSL2::JUND",1.68617134788447,8.45319345023024
"MA0835.2","BATF3",1.50498389576207,8.07143804949025
"MA1138.1","FOSL2::JUNB",1.64454308423248,7.94461579820518
"MA0491.2","JUND",1.67843734336476,7.88889332842974
"MA1134.1","FOS::JUNB",1.64898720473253,7.75161157037449
"MA1142.1","FOSL1::JUND",1.55351488335604,7.59102720160595
"MA1633.2","BACH1",1.55822480074134,6.8021418760804
"MA1928.1","BNC2",1.44859652114802,6.71982632787398
"MA0809.2","TEAD4",1.11175151152737,6.05338020088839
"MA0478.1","FOSL2",1.44937057981437,5.35823985158517
"MA1132.1","JUN::JUNB",1.38569949258635,5.35823985158517
"MA0090.3","TEAD1",1.07183828073196,5.08469673782829
"MA1121.1","TEAD2",0.998810182320631,4.67442829441061
"MA0655.1","JDP2",1.3144936626032,3.42807691812248
"MA0710.1","NOTO",1.08275743644093,2.5293913637768
"MA0841.1","NFE2",1.25566563507037,2.22647473850656
"MA0662.1","MIXL1",1.1929999734553,2.00861099090924
"MA1101.2","BACH2",1.23825365130802,2.00861099090924
"MA0630.1","SHOX",1.15140861456012,1.53069256571933
"MA0874.1","Arx",1.09553997752847,1.34821342194425
"MA0089.2","MAFG::NFE2L1",0.931331376021334,1.12687555842404
"MA1601.2","ZNF75D",0.990840602412081,1.09634587425107
"MA1607.1","Foxl2",0.682164306868752,1.00912775783477
"MA0893.2","GSX2",0.807706378418693,0.960510703401405
"MA0853.1","Alx4",0.961683177091197,0.918864583911935
"MA0675.1","NKX6-2",0.807421211363547,0.904464876742689
"MA0150.2","Nfe2l2",0.827632373545652,0.830731196181001
"MA0721.1","UNCX",0.875040619808097,0.830731196181001
"MA1979.1","ZNF416",0.711114274673917,0.82107514354201
"MA1528.1","NFIX",0.910135922981835,0.732704348168087
"MA0810.1","TFAP2A",0.798872314230358,0.668540147011
"MA1574.1","THRB",0.817373794687641,0.580307111855748
"MA0766.2","GATA5",0.650028155696964,0.580307111855748
"MA1597.1","ZNF528",0.771770890103685,0.56824243302347
"MA0158.2","HOXA5",0.712057999762157,0.56824243302347
"MA1148.1","PPARA::RXRA",0.697962720095765,0.499434032109769
"MA1683.1","FOXA3",0.572337891546948,0.499434032109769
"MA0797.1","TGIF2",0.737864876889218,0.476339354798043
"MA1103.2","FOXK2",0.589305795904155,0.47026394273141
"MA1656.1","ZNF449",0.773150399404418,0.44700310321524
"MA0481.3","FOXP1",0.548923263478743,0.44700310321524
"MA0592.3","ESRRA",0.62919511608099,0.423768723070796
"MA1104.2","GATA6",0.508414267584415,0.423768723070796
"MA0811.1","TFAP2B",0.741258282791261,0.410733731533174
"MA1980.1","ZNF418",0.648789432723454,0.399654202867927
"MA0132.2","PDX1",0.499049273217918,0.375124918390709
"MA0504.1","NR2C2",0.69788057403118,0.364239618798648
"MA0501.1","MAF::NFE2",0.624003058732682,0.352265013451882
"MA1575.1","THRB",0.638232878425848,0.281539769361228
"MA1930.1","CTCF",0.638232878425848,0.281539769361228
"MA0717.1","RAX2",0.617412414150015,0.278305413853496
"MA0092.1","Hand1::Tcf3",0.477831393801519,0.276893682841747
"MA0849.1","FOXO6",0.477589824750362,0.276893682841747
"MA1579.1","ZBTB26",0.454168761645292,0.276209996196808
"MA0163.1","PLAG1",0.658197998521197,0.203416522906892
"MA0670.1","NFIA",0.403587852133591,0.203416522906892
"MA0705.1","Lhx8",0.655452913565304,0.203416522906892
"MA1500.1","HOXB6",0.54786826463907,0.203416522906892
"MA1629.1","Zic2",0.55082716259108,0.203416522906892
"MA1112.2","NR4A1",0.456010219233888,0.203416522906892
"MA0037.4","Gata3",0.438495821114349,0.203416522906892
"MA0042.2","FOXI1",0.369351868922629,0.188998623541883
"MA0848.1","FOXO4",0.369351868922629,0.188998623541883
"MA1637.1","EBF3",0.525339038638201,0.188998623541883
"MA0047.3","FOXA2",0.426350846911636,0.188998623541883
"MA0643.1","Esrrg",0.556969201884282,0.18603784595943
"MA0906.1","HOXC12",0.605178235095327,0.18603784595943
"MA1111.1","NR2F2",0.521582726051983,0.18603784595943
"MA1502.1","HOXB8",0.444250077908986,0.18603784595943
"MA0784.2","POU1F1",0.642482317236771,0.18603784595943
"MA0492.1","JUND",0.557010700756396,0.185587464357055
"MA0738.1","HIC2",0.479826895405253,0.185587464357055
"MA0747.1","SP8",0.48976383877346,0.185587464357055
"MA0524.2","TFAP2C",0.542696515425964,0.185587464357055
"MA1153.1","Smad4",0.452497622969745,0.185587464357055
"MA1577.1","TLX2",0.420376380116529,0.185587464357055
"MA0148.4","FOXA1",0.353433618019018,0.185587464357055
"MA0508.3","PRDM1",0.402452739285682,0.185587464357055
"MA0093.3","USF1",0.514567525638671,0.185587464357055
"MA0083.3","SRF",0.531206522387363,0.169782171962641
"MA1514.1","KLF17",0.546303541149927,0.169782171962641
"MA0031.1","FOXD1",0.506149224130396,0.15272575372892
"MA0691.1","TFAP4",0.565621669858584,0.15272575372892
"MA0854.1","Alx1",0.58083118867426,0.15272575372892
"MA1643.1","NFIB",0.550967575090684,0.15272575372892
"MA0769.2","TCF7",0.38072585484769,0.15272575372892
"MA1984.1","ZNF667",0.586056626536592,0.15272575372892
"MA1725.1","ZNF189",0.388389082026537,0.145355940053699
"MA1498.2","HOXA7",0.506402684912656,0.145355940053699
"MA0033.2","FOXL1",0.286304663925836,0.137316384713222
"MA0718.1","RAX",0.407005453255352,0.137316384713222
"MA0498.2","MEIS1",0.404199506827163,0.137316384713222
"MA1616.1","Prdm15",0.413549204714068,0.116489873474439
"MA0482.2","GATA4",0.391885268658302,0.116489873474439
"MA0040.1","Foxq1",0.334184330759321,0.112002040744857
"MA0071.1","RORA",0.372939926678559,0.112002040744857
"MA0483.1","Gfi1B",0.34508144826451,0.112002040744857
"MA0027.2","EN1",0.370696173909381,0.112002040744857
