"motif","TF","log2_enrichment","minlog10_FDR"
"MA0004.1","Arnt",0.0197777662989091,0
"MA0006.1","Ahr::Arnt",0.100297345000937,0
"MA0019.1","Ddit3::Cebpa",0.0770971947006771,0
"MA0029.1","Mecom",0.0275468084315706,0
"MA0030.1","FOXF2",0.0538754378801394,0
"MA0031.1","FOXD1",0.0466733318706201,0
"MA0040.1","Foxq1",0.0553871001664641,0
"MA0051.1","IRF2",0.0502518033080785,0
"MA0059.1","MAX::MYC",0.103360113956435,0
"MA0066.1","PPARG",0.130201179612837,0
"MA0069.1","PAX6",0.128116554785655,0
"MA0070.1","PBX1",0.111910220687481,0
"MA0071.1","RORA",0.0573864441816276,0
"MA0072.1","RORA",0.0261708760471624,0
"MA0073.1","RREB1",0.244652060398044,0
"MA0074.1","RXRA::VDR",0.0466733318706201,0
"MA0077.1","SOX9",0.081856579120366,0
"MA0084.1","SRY",0.0831238210182712,0
"MA0091.1","TAL1::TCF3",0.0819058672669946,0
"MA0092.1","Hand1::Tcf3",0.122752284479145,0
"MA0101.1","REL",0.063830337988906,0
"MA0107.1","RELA",0.151052110224272,0
"MA0108.2","TBP",0.0632437791744915,0
"MA0111.1","Spz1",0.161918577079411,0
"MA0115.1","NR1H2::RXRA",0.00766142078431153,0
"MA0116.1","Znf423",0.069907672616337,0
"MA0119.1","NFIC::TLX1",0.0841291817640641,0
"MA0125.1","Nobox",0.103138596359441,0
"MA0135.1","Lhx3",0.0262809989419539,0
"MA0139.1","CTCF",0.209164191716997,0
"MA0142.1","Pou5f1::Sox2",0.102161556148306,0
"MA0149.1","EWSR1-FLI1",0.0224768931307961,0
"MA0138.2","REST",0.0453155290489065,0
"MA0002.2","Runx1",0.051520582849589,0
"MA0065.2","Pparg::Rxra",0.0674897959508942,0
"MA0151.1","Arid3a",0.0363395457465763,0
"MA0155.1","INSM1",0.0322486741330956,0
"MA0159.1","RARA::RXRA",0.129275587098524,0
"MA0163.1","PLAG1",0.264253017825924,0
"MA0164.1","Nr2e3",0.0774458013974297,0
"MA0259.1","ARNT::HIF1A",0.058593608954737,0
"MA0145.2","Tfcp2l1",0.0219378098779246,0
"MA0146.2","Zfx",0.206420439524144,0
"MA0468.1","DUX4",0.0350637066847534,0
"MA0476.1","FOS",0.208568483266264,0
"MA0478.1","FOSL2",0.207451998194154,0
"MA0479.1","FOXH1",0.0886592044412327,0
"MA0483.1","Gfi1B",0.155591994296947,0
"MA0488.1","JUN",0.0851866998993893,0
"MA0492.1","JUND",0.0780333630955128,0
"MA0494.1","Nr1h3::Rxra",0.11950208033523,0
"MA0497.1","MEF2C",0.206319678303576,0
"MA0501.1","MAF::NFE2",0.0900255400788108,0
"MA0504.1","NR2C2",0.120995574264838,0
"MA0515.1","Sox6",0.158657175908197,0
"MA0517.1","STAT1::STAT2",0.32417294600387,0
"MA0518.1","Stat4",-0.0227931007236606,0
"MA0519.1","Stat5a::Stat5b",0.188190713435632,0
"MA0520.1","Stat6",0.0907259879786828,0
"MA0523.1","TCF7L2",0.106227980145738,0
"MA0527.1","ZBTB33",0.17243923180172,0
"MA0076.2","ELK4",0.216787961142296,0
"MA0258.2","ESR2",0.200539715768482,0
"MA0150.2","Nfe2l2",0.0489096023770936,0
"MA0137.3","STAT1",0.115988042546473,0
"MA0144.2","STAT3",0.0731988010463742,0
"MA0140.2","GATA1::TAL1",0.0500893379301091,0
"MA0591.1","Bach1::Mafk",0.0701121704825347,0
"MA0593.1","FOXP2",0.114072390782042,0
"MA0595.1","SREBF1",0.167271338989909,0
"MA0596.1","SREBF2",0.140917062907826,0
"MA0599.1","KLF5",0.0749170019991841,0
"MA0601.1","Arid3b",0.085430573146672,0
"MA0602.1","Arid5a",0.0409074495744441,0
"MA0603.1","Arntl",0.189736993925601,0
"MA0604.1","Atf1",0.0295756930812323,0
"MA0608.1","Creb3l2",0.114952870984413,0
"MA0610.1","DMRT3",0.0519295417741295,0
"MA0613.1","FOXG1",0.0576516278765511,0
"MA0614.1","Foxj2",0.095352112926824,0
"MA0615.1","Gmeb1",0.0400351225592552,0
"MA0618.1","LBX1",0.0596974279260261,0
"MA0619.1","LIN54",0.171464917777115,0
"MA0621.1","mix-a",0.0272167043175724,0
"MA0622.1","Mlxip",0.0202501211722024,0
"MA0626.1","Npas2",0.174100518104497,0
"MA0628.1","POU6F1",0.0228632744143926,0
"MA0629.1","Rhox11",0.0625996361049617,0
"MA0630.1","SHOX",0.0310632272415696,0
"MA0631.1","Six3",0.0235254016742137,0
"MA0634.1","ALX3",0.0391622677715202,0
"MA0007.3","Ar",0.0153378501175045,0
"MA0635.1","BARHL2",0.0434124556538715,0
"MA0636.1","BHLHE41",0.0350637066847534,0
"MA0638.1","CREB3",0.061525424796979,0
"MA0639.1","DBP",0.0215381075436341,0
"MA0641.1","ELF4",0.134239805940471,0
"MA0027.2","EN1",0.0904463426386863,0
"MA0643.1","Esrrg",0.0960342619253773,0
"MA0645.1","ETV6",0.146835993179329,0
"MA0475.2","FLI1",0.045946502694838,0
"MA0042.2","FOXI1",0.132552864393698,0
"MA0033.2","FOXL1",0.129634402123093,0
"MA0646.1","GCM1",0.342990319827009,0
"MA0647.1","GRHL1",0.030184925734889,0
"MA0648.1","GSC",0.075481382742538,0
"MA0649.1","HEY2",0.0176665842924293,0
"MA0131.2","HINFP",0.0497912859500813,0
"MA0046.2","HNF1A",0.0234150682318406,0
"MA0153.2","HNF1B",0.0162252342845663,0
"MA0486.2","HSF1",0.0223112694692205,0
"MA0652.1","IRF8",0.00581968545478651,0
"MA0653.1","IRF9",0.00386375717866061,0
"MA0654.1","ISX",0.073884099612878,0
"MA0655.1","JDP2",0.110441211612176,0
"MA0656.1","JDP2",0.0353373066341622,0
"MA0657.1","KLF13",0.111867907316888,0
"MA0658.1","LHX6",0.0313375868426431,0
"MA0660.1","MEF2B",0.141931651688461,0
"MA0661.1","MEOX1",0.0497643522770099,0
"MA0662.1","MIXL1",0.0375242403070168,0
"MA0663.1","MLX",0.0556029226795727,0
"MA0664.1","MLXIPL",0.0868771181996717,0
"MA0665.1","MSC",0.064471678909078,0
"MA0667.1","MYF6",0.0559265959244017,0
"MA0669.1","NEUROG2",0.14504271435663,0
"MA0670.1","NFIA",0.0786664482016004,0
"MA0671.1","NFIX",0.0125724377878362,0
"MA0048.2","NHLH1",0.119615367167024,0
"MA0672.1","NKX2-3",0.160984966054638,0
"MA0673.1","NKX2-8",0.0241273690216133,0
"MA0674.1","NKX6-1",0.0581902776366352,0
"MA0675.1","NKX6-2",0.0405258714051571,0
"MA0676.1","Nr2e1",0.109090156745791,0
"MA0677.1","Nr2f6",0.0567893697282722,0
"MA0678.1","OLIG2",0.145678656902431,0
"MA0068.2","PAX4",0.125026224834684,0
"MA0683.1","POU4F2",0.00821905853200988,0
"MA0512.2","Rxra",0.0138391505365871,0
"MA0686.1","SPDEF",0.0703812533408472,0
"MA0687.1","SPIC",0.156346844163276,0
"MA0083.3","SRF",0.00526111933799456,0
"MA0009.2","TBXT",0.00961221063795703,0
"MA0688.1","TBX2",0.0440011730890384,0
"MA0689.1","TBX20",0.0834413790534696,0
"MA0691.1","TFAP4",0.0992831579605569,0
"MA0692.1","TFEB",0.13229709502583,0
"MA0694.1","ZBTB7B",0.140917062907826,0
"MA0695.1","ZBTB7C",0.235822561694022,0
"MA0696.1","ZIC1",0.105081517686951,0
"MA0698.1","ZBTB18",0.0919365214257106,0
"MA0699.1","LBX2",0.0373056960589593,0
"MA0704.1","Lhx4",0.0300751004407021,0
"MA0705.1","Lhx8",0.0293610321698323,0
"MA0706.1","MEOX2",0.0282617750027101,0
"MA0709.1","Msx3",0.0688223031688029,0
"MA0710.1","NOTO",0.0712180249105292,0
"MA0124.2","Nkx3-1",0.0902520243456477,0
"MA0711.1","OTX1",0.0988119977219943,0
"MA0132.2","PDX1",0.0880381328979771,0
"MA0713.1","PHOX2A",0.122756537048909,0
"MA0714.1","PITX3",0.0910418772507819,0
"MA0715.1","PROP1",0.0173336974855065,0
"MA0716.1","PRRX1",0.0620626304313783,0
"MA0717.1","RAX2",0.0398169583659391,0
"MA0718.1","RAX",0.0595898265334149,0
"MA0719.1","RHOXF1",0.0567354614790254,0
"MA0720.1","Shox2",0.0705240377121941,0
"MA0721.1","UNCX",0.0397078638964965,0
"MA0722.1","VAX1",0.02644616752481,0
"MA0724.1","VENTX",0.0458044852924102,0
"MA0725.1","VSX1",0.02644616752481,0
"MA0726.1","VSX2",0.0350089804678957,0
"MA0112.3","ESR1",0.00688036565135741,0
"MA0141.3","ESRRB",0.0348995218059449,0
"MA0017.2","NR2F1",0.0451871526461329,0
"MA0113.3","NR3C1",0.00827481045386014,0
"MA0727.1","NR3C2",0.00950080796352415,0
"MA0728.1","Nr2F6",0.00894366551968506,0
"MA0729.1","RARA",0.00106496593236871,0
"MA0730.1","RARA",0.013450344519077,0
"MA0731.1","BCL6B",0.000784787948788779,0
"MA0472.2","EGR2",0.114373692796189,0
